Wichita State - Isaiah Poor Bear-Chandler,"['5/16', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Wichita State - Jaime Echenique,"['21/59', '6/14', '2/5', '1/2', '1/1', '1/1', '0/0', '0/0', '0/0', '0/0', '0/0']"
Wichita State - Jamarius Burton,"['25/83', '7/20', '0/5', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Baylor - Mark Vital,"['17/69', '2/13', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Belmont - Grayson Murphy,"['22/80', '7/18', '3/4', '2/2', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0']"
Green Bay - JayQuan McCloud,"['68/171', '25/59', '13/24', '4/11', '1/4', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0']"
Belmont - Caleb Hollander,"['12/56', '7/12', '1/1', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Belmont - Dylan Windler,"['67/137', '22/63', '5/16', '1/4', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Green Bay - T.J. Parham,"['4/22', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Green Bay - Trevian Bell,"['21/63', '9/17', '1/7', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Green Bay - Josh McNair,"['5/29', '2/3', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Belmont - Kevin McClain,"['41/120', '9/35', '4/8', '2/4', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Belmont - Nick Hopkins,"['25/68', '8/22', '2/8', '1/2', '1/1', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0']"
Green Bay - Kameron Hankerson,"['40/117', '13/37', '6/11', '3/5', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Green Bay - Shanquan Hemphill,"['27/92', '6/20', '3/4', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Belmont - Nick Muszynski,"['24/66', '5/19', '0/4', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Green Bay - Jevon Smith,"['5/19', '1/3', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Green Bay - Manny Patterson,"['11/46', '4/9', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Green Bay - Sandy Cohen III,"['70/180', '18/64', '8/16', '3/6', '1/3', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0']"
Green Bay - PJ Pipes,"['37/98', '7/31', '1/4', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Belmont - Michael Benkert,"['25/63', '7/19', '2/7', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Grand Canyon - Trey Drechsel,"['38/107', '14/36', '4/11', '1/3', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
