0:36, Gardner-Webb, David Efianayi, Free Throw, 24, 35,25
0:06, Gardner-Webb, David Efianayi, Block, 69, 73,90
1:36, Gardner-Webb, David Efianayi, Free Throw, 72, 76,67
1:36, Gardner-Webb, David Efianayi, Free Throw, 73, 76,67
1:08, Gardner-Webb, David Efianayi, Three Point Jumper, 76, 78,288
0:26, Gardner-Webb, David Efianayi, Free Throw, 77, 78,180
0:26, Gardner-Webb, David Efianayi, Free Throw, 78, 78,120
0:16, Gardner-Webb, David Efianayi, Three Point Jumper, 86, 87,432
1:20, Gardner-Webb, David Efianayi, Free Throw, 76, 72,90
1:20, Gardner-Webb, David Efianayi, Free Throw, 76, 73,90
1:20, Gardner-Webb, David Efianayi, Free Throw, 76, 74,120
0:08, Gardner-Webb, David Efianayi, Jumper, 77, 78,240
1:18, Gardner-Webb, David Efianayi, Missed Jumper, 73, 77,-84
0:11, Gardner-Webb, David Efianayi, Missed Free Throw, 75, 79,-180
0:02, Gardner-Webb, David Efianayi, Missed Free Throw, 77, 80,-180
1:07, Gardner-Webb, David Efianayi, Missed Three Point Jumper, 39, 35,-84
0:19, Gardner-Webb, David Efianayi, Missed Free Throw, 69, 63,-120
0:43, Gardner-Webb, David Efianayi, Turnover, 71, 75,-180
0:33, Gardner-Webb, David Efianayi, Missed Three Point Jumper, 55, 59,-105
1:58, Gardner-Webb, David Efianayi, Turnover, 22, 21,-144
0:01, Gardner-Webb, David Efianayi, Missed Jumper, 27, 24,-126
0:12, Gardner-Webb, David Efianayi, Missed Free Throw, 79, 85,-180
0:06, Gardner-Webb, David Efianayi, Missed Three Point Jumper, 79, 87,-126
2:22, Gardner-Webb, David Efianayi, Missed Jumper, 66, 70,-42
0:28, Gardner-Webb, David Efianayi, Turnover, 76, 71,-216
0:20, Gardner-Webb, David Efianayi, Missed Three Point Jumper, 85, 86,-252
0:34, Gardner-Webb, David Efianayi, Missed Jumper, 39, 39,-140
0:31, Gardner-Webb, David Efianayi, Missed Layup, 39, 39,-200
2:58, Gardner-Webb, David Efianayi, Missed Layup, 81, 82,-60
2:20, Gardner-Webb, David Efianayi, Missed Three Point Jumper, 97, 95,-56
0:42, Gardner-Webb, David Efianayi, Missed Three Point Jumper, 56, 63,-70
0:40, Gardner-Webb, David Efianayi, Turnover, 68, 70,-240
0:02, Gardner-Webb, David Efianayi, Missed Layup, 70, 70,-360
1:07, Gardner-Webb, David Efianayi, Missed Three Point Jumper, 83, 93,-42
0:53, Gardner-Webb, David Efianayi, Missed Free Throw, 88, 95,-150
2:28, Gardner-Webb, David Efianayi, Turnover, 28, 29,-96
2:32, Gardner-Webb, David Efianayi, Missed Three Point Jumper, 58, 65,-14
0:16, Gardner-Webb, David Efianayi, Missed Free Throw, 62, 68,-120
0:07, Gardner-Webb, David Efianayi, Missed Free Throw, 64, 69,-180
1:57, Gardner-Webb, David Efianayi, Missed Three Point Jumper, 53, 61,-63
0:28, Gardner-Webb, David Efianayi, Missed Three Point Jumper, 61, 68,-126
2:08, Gardner-Webb, David Efianayi, Missed Three Point Jumper, 27, 18,-14
2:11, Gardner-Webb, David Efianayi, Missed Layup, 21, 29,-40
1:50, Gardner-Webb, David Efianayi, Missed Three Point Jumper, 21, 29,-42
1:03, Gardner-Webb, David Efianayi, Missed Three Point Jumper, 36, 27,-28
2:39, Gardner-Webb, David Efianayi, Missed Three Point Jumper, 21, 29,-14
2:23, Gardner-Webb, David Efianayi, Missed Free Throw, 21, 30,-20
0:36, Gardner-Webb, David Efianayi, Missed Free Throw, 24, 35,-50
2:51, Gardner-Webb, David Efianayi, Missed Jumper, 30, 40,-10
